query_id,session_id,user_id,query_type,raw_query,source,page,timestamp,language,trip_mode,destination_hint,budget_hint,days_hint
query_11ebeafa8998,chat-1775239181500-j18fk3,,chat,Travel expert mode active.  User question: i was thinking of planning a holiday,chat_input,chat,2026-04-03T18:00:22.190445+00:00,en-IN,expert,,,
query_04cbe26d0d11,chat-1775294810809-bon09t,,chat,Travel expert mode active.  User question: I WAS THINKING OF planning a trip to rajasthan,chat_input,chat,2026-04-04T09:27:12.499043+00:00,en-IN,expert,,,
query_533ecf7db1f8,chat-1775294810809-bon09t,,chat,"Travel expert mode active.  User question: rajsthan, my budget is 20000 i want to have cultural and heritage",chat_input,chat,2026-04-04T09:28:24.119008+00:00,en-IN,expert,,,
query_0295cf034524,chat-1775297565201-gfbyn4,,chat,"Travel expert mode active.  User question: Show nearby places, restaurants and one evening route around my trip place.",chat_input,chat,2026-04-04T10:40:46.483143+00:00,en-IN,expert,,,
query_a2e43dc26014,chat-1775299287161-nb6r12,,chat,Travel expert mode active.  User question: i was thinking of going to Goa,chat_input,chat,2026-04-04T10:41:48.042136+00:00,en-IN,expert,,,
query_6e13e7c734e5,chat-1775299898483-1k6gz0,,chat,Travel expert mode active.  User question: hi i was thinking of going to goa for romantic trip of 10 days and budget of 50000,chat_input,chat,2026-04-04T10:52:57.892632+00:00,en-IN,expert,,,
query_2368e28b8284,chat-1775299898483-1k6gz0,,chat,Travel expert mode active.  User question: i prefer beaches,chat_input,chat,2026-04-04T10:53:36.845987+00:00,en-IN,expert,,,
query_d8fac2f46f38,chat-1775299898483-1k6gz0,,chat,Travel expert mode active.  User question: romantic trip of 10 days and budget of 50000,chat_input,chat,2026-04-04T10:53:52.203369+00:00,en-IN,expert,,,
query_1ddf8f8ea93b,chat_72b1ab700dd5,,chat,"You are a tourist expert for India. Return JSON only. Do not add markdown, bullets, or commentary. Use only the hotel and place IDs/names provided below.  Destination: Pune State: Maharashtra Stay preference: comfortable hotel Budget band: 12000 Interests: Food, Culture  Hotel candidates: [   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   } ]  Place candidates: [   {     ""id"": ""place-fallback-0"",     ""name"": ""Aga Khan Palace"",     ""category"": ""Local attraction"",     ""budget"": ""budget"",     ""rating"": 4.1,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-1"",     ""name"": ""Sinhagad Fort"",     ""category"": ""Local attraction"",     ""budget"": ""budget"",     ""rating"": 4.3,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-2"",     ""name"": ""FC Road"",     ""category"": ""Local attraction"",     ""budget"": ""mid-range"",     ""rating"": 4.5,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-3"",     ""name"": ""Aga Khan Palace"",     ""category"": ""Local attraction"",     ""budget"": ""luxury"",     ""rating"": 4.7,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-4"",     ""name"": ""Sinhagad Fort"",     ""category"": ""Local attraction"",     ""budget"": ""budget"",     ""rating"": 4.1,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-5"",     ""name"": ""FC Road"",     ""category"": ""Local attraction"",     ""budget"": ""budget"",     ""rating"": 4.3,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   } ]  Return this exact shape: {   ""hotels"": [     { ""id"": ""hotel-id"", ""why"": ""one short destination-specific sentence"", ""fit"": ""family|couple|friends|solo|luxury|budget"" }   ],   ""places"": [     { ""id"": ""place-id"", ""why"": ""one short destination-specific sentence"" }   ] }  Rules: - Keep the exact ids unchanged. - Never invent hotel or place names. - Prefer the strongest real stay options. - Make the reasons practical and specific to the destination.",chat_input,chat,2026-04-04T19:29:44.420228+00:00,en-IN,expert,,,
query_cb44fca09dc5,chat_dba9b9177129,,chat,"You are a tourist expert for India. Return JSON only. Do not add markdown, bullets, or commentary. Use only the hotel and place IDs/names provided below.  Destination: Goa State: Goa Stay preference: comfortable hotel Budget band: 12000 Interests: Food, Culture  Hotel candidates: [   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   },   {     ""name"": ""Stay"",     ""stayType"": ""hotel"",     ""budget"": ""budget"",     ""rating"": 7.2,     ""distanceKm"": 45,     ""address"": ""Address not available"",     ""tags"": [       ""accommodation"",       ""stay"",       ""lodging""     ]   } ]  Place candidates: [   {     ""id"": ""place-fallback-0"",     ""name"": ""Anjuna"",     ""category"": ""Local attraction"",     ""budget"": ""budget"",     ""rating"": 4.1,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-1"",     ""name"": ""Fontainhas"",     ""category"": ""Local attraction"",     ""budget"": ""budget"",     ""rating"": 4.3,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-2"",     ""name"": ""Dudhsagar Falls"",     ""category"": ""Local attraction"",     ""budget"": ""mid-range"",     ""rating"": 4.5,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-3"",     ""name"": ""Anjuna"",     ""category"": ""Local attraction"",     ""budget"": ""luxury"",     ""rating"": 4.7,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-4"",     ""name"": ""Fontainhas"",     ""category"": ""Local attraction"",     ""budget"": ""budget"",     ""rating"": 4.1,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   },   {     ""id"": ""place-fallback-5"",     ""name"": ""Dudhsagar Falls"",     ""category"": ""Local attraction"",     ""budget"": ""budget"",     ""rating"": 4.3,     ""distanceKm"": 0,     ""tags"": [       ""sightseeing"",       ""local"",       ""easy-stop""     ]   } ]  Return this exact shape: {   ""hotels"": [     { ""id"": ""hotel-id"", ""why"": ""one short destination-specific sentence"", ""fit"": ""family|couple|friends|solo|luxury|budget"" }   ],   ""places"": [     { ""id"": ""place-id"", ""why"": ""one short destination-specific sentence"" }   ] }  Rules: - Keep the exact ids unchanged. - Never invent hotel or place names. - Prefer the strongest real stay options. - Make the reasons practical and specific to the destination.",chat_input,chat,2026-04-04T19:29:48.963528+00:00,en-IN,expert,,,
