"timestamp","event_type","page","session_id","context_mode","prompt","response","start","destination","travel_mode","source_language","target_language","text_length","response_length","notes"
"2026-03-04T17:37:11.2073171Z","chat","chat","seed-1","trip","Tell me about Goa and nearby food in trip mode.","Trip-aware answer for Goa with itinerary details.","","Goa","","","","47","49","Trip context enabled."
"2026-03-04T18:19:11.2073171Z","translate","translet","seed-1","","Please translate a travel phrase for Mumbai into mr.","Translated output for Mumbai in mr.","","Mumbai","","en","mr","52","35","Translet page usage."
"2026-03-04T19:01:11.2073171Z","plan","planner","seed-2","","Plan a 4 day trip to Kochi by Train.","Planner output for Kochi with budget and route guidance.","Bengaluru","Kochi","Train","","","36","56","Planner route generated."
"2026-03-04T19:43:11.2073171Z","chat","chat","seed-2","expert","Tell me about Varanasi and nearby food in expert mode.","Expert advice for Varanasi without saved trip context.","","Varanasi","","","","54","54","Travel expert mode."
"2026-03-04T20:25:11.2073171Z","translate","translet","seed-2","","Please translate a travel phrase for Goa into te.","Translated output for Goa in te.","","Goa","","bn","te","49","32","Google Cloud Translation request."
"2026-03-04T21:07:11.2073171Z","plan","planner","seed-3","","Plan a 7 day trip to Mumbai by Train.","Planner output for Mumbai with budget and route guidance.","Chennai","Mumbai","Train","","","37","57","Trip planning action."
"2026-03-04T21:49:11.2073171Z","chat","chat","seed-3","trip","Tell me about Kochi and nearby food in trip mode.","Trip-aware answer for Kochi with itinerary details.","","Kochi","","","","49","51","Trip context enabled."
"2026-03-04T22:31:11.2073171Z","translate","translet","seed-3","","Please translate a travel phrase for Varanasi into gu.","Translated output for Varanasi in gu.","","Varanasi","","kn","gu","54","37","Translet page usage."
"2026-03-04T23:13:11.2073171Z","plan","planner","seed-4","","Plan a 3 day trip to Goa by Train.","Planner output for Goa with budget and route guidance.","Bengaluru","Goa","Train","","","34","54","Planner route generated."
"2026-03-04T23:55:11.2073171Z","chat","chat","seed-4","expert","Tell me about Mumbai and nearby food in expert mode.","Expert advice for Mumbai without saved trip context.","","Mumbai","","","","52","52","Travel expert mode."
"2026-03-05T00:37:11.2073171Z","translate","translet","seed-4","","Please translate a travel phrase for Kochi into or.","Translated output for Kochi in or.","","Kochi","","auto","or","51","34","Google Cloud Translation request."
"2026-03-05T01:19:11.2073171Z","plan","planner","seed-5","","Plan a 6 day trip to Varanasi by Train.","Planner output for Varanasi with budget and route guidance.","Chennai","Varanasi","Train","","","39","59","Trip planning action."
"2026-03-05T02:01:11.2073171Z","chat","chat","seed-5","trip","Tell me about Goa and nearby food in trip mode.","Trip-aware answer for Goa with itinerary details.","","Goa","","","","47","49","Trip context enabled."
"2026-03-05T02:43:11.2073171Z","translate","translet","seed-5","","Please translate a travel phrase for Mumbai into hi.","Translated output for Mumbai in hi.","","Mumbai","","mr","hi","52","35","Translet page usage."
"2026-03-05T03:25:11.2073171Z","plan","planner","seed-6","","Plan a 2 day trip to Kochi by Train.","Planner output for Kochi with budget and route guidance.","Bengaluru","Kochi","Train","","","36","56","Planner route generated."
"2026-03-05T04:07:11.2073171Z","chat","chat","seed-6","expert","Tell me about Varanasi and nearby food in expert mode.","Expert advice for Varanasi without saved trip context.","","Varanasi","","","","54","54","Travel expert mode."
"2026-03-05T04:49:11.2073171Z","translate","translet","seed-6","","Please translate a travel phrase for Goa into ta.","Translated output for Goa in ta.","","Goa","","te","ta","49","32","Google Cloud Translation request."
"2026-03-05T05:31:11.2073171Z","plan","planner","seed-7","","Plan a 5 day trip to Mumbai by Train.","Planner output for Mumbai with budget and route guidance.","Chennai","Mumbai","Train","","","37","57","Trip planning action."
