"place_id","place_name","latitude","longitude","category","category_label","city","state","district","address","tags","ratings","reviews","entry_fee","visit_duration_hours","budget","luxory","best_for","best_season","description","opening_hours","website","phone","source","source_file"
"OPE_6906524648","Akshay Blood Bank","18.499071","73.941253","bank_atm","Utility stop","Pune","Maharashtra","Pune","Akshay Blood Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4","167","1090","2","budget","no","couple","Summer","Akshay Blood Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_6130922026","Allahabad Bank","18.563649","73.802818","bank_atm","Utility stop","Pune","Maharashtra","Pune","Allahabad Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.7","604","860","3.5","luxury","yes","family","Monsoon","Allahabad Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_6201762554","Allahabad Bank","18.522479","73.841207","bank_atm","Utility stop","Pune","Maharashtra","Pune","Allahabad Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.7","604","860","3.5","luxury","yes","family","Monsoon","Allahabad Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_2801208405","Andhra Bank","18.5235","73.846842","bank_atm","Utility stop","Pune","Maharashtra","Pune","Andhra Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.8","320","420","1.5","luxury","yes","family","Winter","Andhra Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_4930450602","Andra Bank","18.566128","73.816572","bank_atm","Utility stop","Pune","Maharashtra","Pune","Andra Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.9","216","580","2","luxury","yes","family","Summer","Andra Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_6897390630","Armed Forces Blood Bank","18.50394","73.890178","bank_atm","Utility stop","Pune","Maharashtra","Pune","Armed Forces Blood Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","3.7","689","310","4","budget","no","friends","Summer","Armed Forces Blood Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_11258989071","Atm","18.577454","73.893091","bank_atm","Utility stop","Pune","Maharashtra","Pune","Atm, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.1","308","500","2.5","mid-range","no","family","Monsoon","Atm is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_3750410210","Axis Bank","18.47798","73.824048","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_5331643520","Axis Bank","18.46279","73.890147","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_784995223","Axis Bank","18.45016","73.901472","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_1883112979","Axis Bank","18.504928","73.818011","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_2973189047","Axis Bank","18.556646","73.794556","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_3506853565","Axis Bank","18.490051","73.831797","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_3657496167","Axis Bank","18.520059","73.77865","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_3657496169","Axis Bank","18.538369","73.82989","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_4359560190","Axis Bank","18.494804","73.825978","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_5149099147","Axis Bank","18.540977","73.829934","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_5713386200","Axis Bank","18.543811","73.785269","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_6113341875","Axis Bank","18.508098","73.796356","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_6130922014","Axis Bank","18.557517","73.804448","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_6130922015","Axis Bank","18.557601","73.8044","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_10799668305","Axis Bank","18.544571","73.781774","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_13622256823","Axis Bank","18.511936","73.774913","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
"OPE_359955267","Axis Bank","18.491365","73.8215","bank_atm","Utility stop","Pune","Maharashtra","Pune","Axis Bank, Pune, Pune, Maharashtra","banking|atm|essential|cash","4.3","135","970","3.5","mid-range","no","couple","Summer","Axis Bank is a dummy travel entry for dataset preparation.","09:00-18:00","N/A","N/A","dummy_enrichment","places_dataset_new.csv"
